Company,Branch Plant,2nd Item Number,Purchase Order Number,Reference 2,Reporting Code 3,Open Quantity,Primary Quantity,Primary UOM,Secondary Quantity,Secondary UOM,Last Status,Next Status,Requested Date,Promised Date,Vendor Code,Vendor Name,Freeze Code Flag,Branch Plant1,Global Bulk Item,Bulk Item,2nd Item Number1,Commodity Class,Sub Class,Master Planning Family,GL Category,Primary Supplier,Safety Stock,Leadtime Level
00010,CIN2,100FGK,174366,"",TO,0,16000,LB,7257,KG,400,999,2026-03-02 00:00:00,2026-03-03 00:00:00,329728,Univar Solutions USA Inc,Y,CIN2,100FGK,100FGK,100FGK,SUR,SAN,REC,IN30,329728,13000,42
00010,CIN2,100FGK,175555,"",TO,0,16000,LB,7257,KG,400,999,2026-04-09 00:00:00,2026-04-09 00:00:00,329728,Univar Solutions USA Inc,Y,CIN2,100FGK,100FGK,100FGK,SUR,SAN,REC,IN30,329728,13000,42
00010,CIN2,100FGK,176396,"",TO,0,14000,LB,6350,KG,400,999,2026-05-19 00:00:00,2026-05-19 00:00:00,329728,Univar Solutions USA Inc,Y,CIN2,100FGK,100FGK,100FGK,SUR,SAN,REC,IN30,329728,13000,42
00010,CIN2,100FGK,177097,"",TO,0,14000,LB,6350,KG,400,999,2026-07-07 00:00:00,2026-07-07 00:00:00,329728,Univar Solutions USA Inc,Y,CIN2,100FGK,100FGK,100FGK,SUR,SAN,REC,IN30,329728,13000,42
00010,CIN2,100FGK,178837,"",TO,14000,14000,LB,6350,KG,280,400,2026-09-03 00:00:00,2026-09-03 00:00:00,329728,Univar Solutions USA Inc,Y,CIN2,100FGK,100FGK,100FGK,SUR,SAN,REC,IN30,329728,13000,42
00010,CIN2,104DPM,169277,"",DR,0,400,LB,400,LB,400,999,2025-08-05 00:00:00,2025-08-05 00:00:00,20153,"IMCD US, LLC",Y,CIN2,104DPM,104DPM,104DPM,WET,WAO,RCB,IN30,20153,70,35
00010,CIN2,104DPM,170466,"",DR,0,400,LB,400,LB,400,999,2025-09-08 00:00:00,2025-09-08 00:00:00,20153,"IMCD US, LLC",Y,CIN2,104DPM,104DPM,104DPM,WET,WAO,RCB,IN30,20153,70,35
00010,CIN2,104DPM,172369,"",DR,0,800,LB,800,LB,400,999,2025-12-04 00:00:00,2025-12-11 00:00:00,20153,"IMCD US, LLC",Y,CIN2,104DPM,104DPM,104DPM,WET,WAO,RCB,IN30,20153,70,35
00010,CIN2,104DPM,174621,"",DR,0,400,LB,400,LB,400,999,2026-02-18 00:00:00,2026-02-18 00:00:00,20153,"IMCD US, LLC",Y,CIN2,104DPM,104DPM,104DPM,WET,WAO,RCB,IN30,20153,70,35
00010,CIN2,104DPM,174965,"",DR,0,400,LB,400,LB,400,999,2026-03-17 00:00:00,2026-03-17 00:00:00,20153,"IMCD US, LLC",Y,CIN2,104DPM,104DPM,104DPM,WET,WAO,RCB,IN30,20153,70,35
00010,CIN2,141PAR,171734,"",PA,0,24200,LB,10977,KG,400,999,2025-10-23 00:00:00,2025-10-23 00:00:00,49758,"International Waxes, Inc.",Y,CIN2,141PAR,141PAR,141PAR,SYN,WPA,REC,IN30,49758,0,21
00010,CIN2,141PAR,172845,"",PA,0,26400,LB,11975,KG,400,999,2025-11-24 00:00:00,2025-11-24 00:00:00,49758,"International Waxes, Inc.",Y,CIN2,141PAR,141PAR,141PAR,SYN,WPA,REC,IN30,49758,0,21
00010,CIN2,141PAR,173867,"",PA,0,26400,LB,11975,KG,400,999,2026-01-13 00:00:00,2026-01-13 00:00:00,49758,"International Waxes, Inc.",Y,CIN2,141PAR,141PAR,141PAR,SYN,WPA,REC,IN30,49758,0,21
00010,CIN2,15S40,170736,"",DR,0,1912,LB,1912,LB,400,999,2025-08-28 00:00:00,2025-08-28 00:00:00,329728,Univar Solutions USA Inc,Y,CIN2,15S40,15S40,15S40,SUR,SNI,RCB,IN30,329728,675,14
00010,CIN2,15S40,171960,"",DR,0,1912,LB,1912,LB,400,999,2025-10-21 00:00:00,2025-10-21 00:00:00,329728,Univar Solutions USA Inc,Y,CIN2,15S40,15S40,15S40,SUR,SNI,RCB,IN30,329728,675,14
00010,CIN2,15S40,172979,"",DR,0,1912,LB,1912,LB,400,999,2025-11-20 00:00:00,2025-11-21 00:00:00,329728,Univar Solutions USA Inc,Y,CIN2,15S40,15S40,15S40,SUR,SNI,RCB,IN30,329728,675,14
00010,CIN2,15S40,174370,"",DR,0,1912,LB,1912,LB,400,999,2026-01-20 00:00:00,2026-01-20 00:00:00,329728,Univar Solutions USA Inc,Y,CIN2,15S40,15S40,15S40,SUR,SNI,RCB,IN30,329728,675,14
00010,CIN2,15S40,175921,"",DR,0,1912,LB,1912,LB,400,999,2026-04-09 00:00:00,2026-04-09 00:00:00,329728,Univar Solutions USA Inc,Y,CIN2,15S40,15S40,15S40,SUR,SNI,RCB,IN30,329728,675,14
00010,CIN2,15S40,177395,"",DR,0,1912,LB,1912,LB,400,999,2026-06-02 00:00:00,2026-06-02 00:00:00,329728,Univar Solutions USA Inc,Y,CIN2,15S40,15S40,15S40,SUR,SNI,RCB,IN30,329728,675,14
00010,CIN2,15S40,178802,"",DR,1912,1912,LB,1912,LB,280,400,2026-07-30 00:00:00,2026-07-30 00:00:00,329728,Univar Solutions USA Inc,Y,CIN2,15S40,15S40,15S40,SUR,SNI,RCB,IN30,329728,675,14
00010,CIN2,15S7,177782,"",DR,0,455,LB,206,KG,400,999,2026-07-07 00:00:00,2026-07-07 00:00:00,329728,Univar Solutions USA Inc,Y,CIN2,15S7,15S7,15S7,SUR,SNI,RCB,IN30,329728,0,14
00010,CIN2,15S9,178803,"",DR,1800,1800,LB,816,KG,280,400,2026-07-30 00:00:00,2026-07-30 00:00:00,329728,Univar Solutions USA Inc,Y,CIN2,15S9,15S9,15S9,SUR,SNI,RRC,IN30,329728,0,14
00010,CIN2,161190PX-T2,168672,"",TO,0,4600,LB,2,TO,400,999,2025-07-08 00:00:00,2025-07-21 00:00:00,317501,EPS,N,CIN2,161190PX,161190PX,161190PX-T2,COM,CMA,TOL,IN30,317501,18600,28
00010,CIN2,161190PX-T2,169596,"",TO,0,39100,LB,17,TO,400,999,2025-08-04 00:00:00,2025-08-04 00:00:00,317501,EPS,Y,CIN2,161190PX,161190PX,161190PX-T2,COM,CMA,TOL,IN30,317501,18600,28
00010,CIN2,161190PX-T2,171399,"",TO,0,38630,LB,17,TO,400,999,2025-10-01 00:00:00,2025-10-03 00:00:00,317501,EPS,N,CIN2,161190PX,161190PX,161190PX-T2,COM,CMA,TOL,IN30,317501,18600,28
00010,CIN2,161190PX-T2,171399,"",TO,0,39100,LB,17,TO,980,999,2025-10-01 00:00:00,2025-10-01 00:00:00,317501,EPS,Y,CIN2,161190PX,161190PX,161190PX-T2,COM,CMA,TOL,IN30,317501,18600,28
00010,CIN2,161190PX-T2,173167,"",TO,0,39100,LB,17,TO,400,999,2025-12-16 00:00:00,2026-01-08 00:00:00,317501,EPS,Y,CIN2,161190PX,161190PX,161190PX-T2,COM,CMA,TOL,IN30,317501,18600,28
00010,CIN2,161190PX-T2,173709,"",TO,0,39100,LB,17,TO,400,999,2026-01-14 00:00:00,2026-01-16 00:00:00,317501,EPS,Y,CIN2,161190PX,161190PX,161190PX-T2,COM,CMA,TOL,IN30,317501,18600,28
00010,CIN2,161190PX-T2,175742,"",TO,0,39100,LB,17,TO,400,999,2026-04-07 00:00:00,2026-04-08 00:00:00,317501,EPS,Y,CIN2,161190PX,161190PX,161190PX-T2,COM,CMA,TOL,IN30,317501,18600,28
00010,CIN2,161190PX-T2,177206,"",TO,0,4600,LB,2,TO,400,999,2026-05-19 00:00:00,2026-05-14 00:00:00,317501,EPS,N,CIN2,161190PX,161190PX,161190PX-T2,COM,CMA,TOL,IN30,317501,18600,28
00010,CIN2,161190PX-T2,177206,"",TO,0,34500,LB,15,TO,400,999,2026-05-19 00:00:00,2026-05-28 00:00:00,317501,EPS,N,CIN2,161190PX,161190PX,161190PX-T2,COM,CMA,TOL,IN30,317501,18600,28
00010,CIN2,161190PX-T2,177206,"",TO,0,39100,LB,17,TO,980,999,2026-05-19 00:00:00,2026-06-15 00:00:00,317501,EPS,Y,CIN2,161190PX,161190PX,161190PX-T2,COM,CMA,TOL,IN30,317501,18600,28
00010,CIN2,161190PX-T2,177336,"",TO,0,39100,LB,17,TO,400,999,2026-06-02 00:00:00,2026-06-04 00:00:00,317501,EPS,Y,CIN2,161190PX,161190PX,161190PX-T2,COM,CMA,TOL,IN30,317501,18600,28
00010,CIN2,211001PX.E-PD,171779,"",DR,0,174,KG,1,DR,400,999,2025-10-23 00:00:00,2025-10-23 00:00:00,24886,"Michelman  Interl. - (FG) - Aubange, BE",Y,CIN2,211001PX,211001PX.E,211001PX.E-PD,"",L,FCB,IN32,24886,840,96
00010,CIN2,211001PX.E-PD,174353,554178251,DR,840,840,KG,4,DR,280,400,2026-08-03 00:00:00,2026-08-10 00:00:00,24886,"Michelman  Interl. - (FG) - Aubange, BE",Y,CIN2,211001PX,211001PX.E,211001PX.E-PD,"",L,FCB,IN32,24886,840,96
00010,CIN2,211001PX.E-PD,176337,"",DR,0,600,KG,3,DR,400,999,2026-04-07 00:00:00,2026-04-17 00:00:00,24886,"Michelman  Interl. - (FG) - Aubange, BE",Y,CIN2,211001PX,211001PX.E,211001PX.E-PD,"",L,FCB,IN32,24886,840,96
00010,CIN2,211001PX.E-PD,177128,"",DR,0,840,KG,4,DR,400,999,2026-05-15 00:00:00,2026-05-22 00:00:00,24886,"Michelman  Interl. - (FG) - Aubange, BE",Y,CIN2,211001PX,211001PX.E,211001PX.E-PD,"",L,FCB,IN32,24886,840,96
00010,CIN2,211001PX.E-PL,174104,"",PL,0,18,KG,1,PL,400,999,2026-02-23 00:00:00,2026-01-27 00:00:00,24886,"Michelman  Interl. - (FG) - Aubange, BE",Y,CIN2,211001PX,211001PX.E,211001PX.E-PL,"",L,FCB,IN32,24886,0,56
00010,CIN2,251380SX-T2,177168,"",TO,0,28600,LB,13,TO,980,999,2026-06-26 00:00:00,2026-06-26 00:00:00,350481,Schlenk Metallic Pigments,Y,CIN2,251380SX,251380SX,251380SX-T2,ADD,PGM,TOL,IN30,350481,0,112
00010,CIN2,251380SX-T2,177274,"",TO,0,330,LB,0,TO,400,999,2026-05-14 00:00:00,2026-05-15 00:00:00,350481,Schlenk Metallic Pigments,Y,CIN2,251380SX,251380SX,251380SX-T2,ADD,PGM,TOL,IN30,350481,0,112
00010,CIN2,37R345PS,170743,"",DR,0,1720,LB,1720,LB,400,999,2025-10-28 00:00:00,2025-10-28 00:00:00,237246,"ChemPoint - Washington Park, IL",Y,CIN2,37R345PS,37R345PS,37R345PS,POL,POT,RCB,IN30,237246,483,70
00010,CIN2,37R345PS,173266,"",DR,0,1720,LB,1720,LB,400,999,2026-02-03 00:00:00,2026-02-11 00:00:00,237246,"ChemPoint - Washington Park, IL",Y,CIN2,37R345PS,37R345PS,37R345PS,POL,POT,RCB,IN30,237246,483,70
00010,CIN2,37R345PS,174020,"",DR,0,1720,LB,1720,LB,400,999,2026-02-17 00:00:00,2026-02-17 00:00:00,237246,"ChemPoint - Washington Park, IL",Y,CIN2,37R345PS,37R345PS,37R345PS,POL,POT,RCB,IN30,237246,483,70
00010,CIN2,37R345PS,174379,"",DR,0,1720,LB,1720,LB,400,999,2026-03-17 00:00:00,2026-03-13 00:00:00,237246,"ChemPoint - Washington Park, IL",Y,CIN2,37R345PS,37R345PS,37R345PS,POL,POT,RCB,IN30,237246,483,70
00010,CIN2,37R345PS,176402,"",DR,0,1720,LB,1720,LB,400,999,2026-04-14 00:00:00,2026-04-15 00:00:00,237246,"ChemPoint - Washington Park, IL",N,CIN2,37R345PS,37R345PS,37R345PS,POL,POT,RCB,IN30,237246,483,70
00010,CIN2,37R345PS,176402,"",DR,0,1720,LB,1720,LB,400,999,2026-04-14 00:00:00,2026-04-30 00:00:00,237246,"ChemPoint - Washington Park, IL",Y,CIN2,37R345PS,37R345PS,37R345PS,POL,POT,RCB,IN30,237246,483,70
00010,CIN2,37R345PS,176403,"",DR,0,2579,LB,2579,LB,400,999,2026-06-12 00:00:00,2026-06-16 00:00:00,237246,"ChemPoint - Washington Park, IL",Y,CIN2,37R345PS,37R345PS,37R345PS,POL,POT,RCB,IN30,237246,483,70
00010,CIN2,37R345PS,178074,"",DR,2150,2150,LB,2150,LB,280,400,2026-09-15 00:00:00,2026-09-15 00:00:00,237246,"ChemPoint - Washington Park, IL",Y,CIN2,37R345PS,37R345PS,37R345PS,POL,POT,RCB,IN30,237246,483,70
00010,CIN2,37R345PS,178075,"",DR,3869,3869,LB,3869,LB,280,400,2026-11-03 00:00:00,2026-11-03 00:00:00,237246,"ChemPoint - Washington Park, IL",Y,CIN2,37R345PS,37R345PS,37R345PS,POL,POT,RCB,IN30,237246,483,70
00010,CIN2,A1127,169278,"",TO,0,41670,LB,41670,LB,400,999,2025-07-18 00:00:00,2025-07-18 00:00:00,300341,Covestro LLC,Y,CIN2,A1127,A1127,A1127,ACR,ACR,RCB,IN30,300341,100,21
00010,CIN2,A1127,170470,"",TO,0,41670,LB,41670,LB,400,999,2025-09-09 00:00:00,2025-09-09 00:00:00,300341,Covestro LLC,Y,CIN2,A1127,A1127,A1127,ACR,ACR,RCB,IN30,300341,100,21
00010,CIN2,A1127,171327,"",TO,0,41670,LB,41670,LB,400,999,2025-10-14 00:00:00,2025-10-14 00:00:00,300341,Covestro LLC,Y,CIN2,A1127,A1127,A1127,ACR,ACR,RCB,IN30,300341,100,21
00010,CIN2,A1127,172037,"",TO,0,41670,LB,41670,LB,400,999,2025-11-14 00:00:00,2025-11-14 00:00:00,300341,Covestro LLC,Y,CIN2,A1127,A1127,A1127,ACR,ACR,RCB,IN30,300341,100,21
00010,CIN2,A1127,172984,"",TO,0,41670,LB,41670,LB,400,999,2025-12-10 00:00:00,2025-12-17 00:00:00,300341,Covestro LLC,Y,CIN2,A1127,A1127,A1127,ACR,ACR,RCB,IN30,300341,100,21
00010,CIN2,A1127,176004,"",TO,0,41670,LB,41670,LB,980,999,2026-04-23 00:00:00,2026-04-23 00:00:00,300341,Covestro LLC,N,CIN2,A1127,A1127,A1127,ACR,ACR,RCB,IN30,300341,100,21
00010,CIN2,A1127,176087,"",TO,0,41670,LB,41670,LB,400,999,2026-03-27 00:00:00,2026-04-03 00:00:00,300341,Covestro LLC,Y,CIN2,A1127,A1127,A1127,ACR,ACR,RCB,IN30,300341,100,21
00010,CIN2,A2092,172367,"",DR,0,1804,LB,1804,LB,400,999,2025-11-12 00:00:00,2025-11-13 00:00:00,300341,Covestro LLC,Y,CIN2,A2092,A2092,A2092,ACR,NOC,RCB,IN30,24886,0,90
00010,CIN2,ABRON55,177951,"",SS,16000,16000,LB,7257,KG,280,400,2026-08-11 00:00:00,2026-08-11 00:00:00,20377,Sun Chemical Corpration,Y,CIN2,ABRON55,ABRON55,ABRON55,MNF,NCL,RCB,IN30,20377,2221,45
00010,CIN2,ABRON55BAG,168684,"",BG,0,2000,LB,2000,LB,400,999,2025-07-11 00:00:00,2025-07-15 00:00:00,20377,Sun Chemical Corpration,Y,CIN2,ABRON55BAG,ABRON55BAG,ABRON55BAG,MNF,ADD,RCB,IN30,20377,2000,45
00010,CIN2,ABRON55BAG,169663,"",BG,0,2000,LB,2000,LB,400,999,2025-08-25 00:00:00,2025-08-25 00:00:00,20377,Sun Chemical Corpration,Y,CIN2,ABRON55BAG,ABRON55BAG,ABRON55BAG,MNF,ADD,RCB,IN30,20377,2000,45
00010,CIN2,ABRON55BAG,172658,"",BG,0,2000,LB,2000,LB,400,999,2025-12-17 00:00:00,2025-12-05 00:00:00,20377,Sun Chemical Corpration,Y,CIN2,ABRON55BAG,ABRON55BAG,ABRON55BAG,MNF,ADD,RCB,IN30,20377,2000,45
00010,CIN2,ABRON55BAG,173973,"",BG,0,4000,LB,4000,LB,400,999,2026-02-02 00:00:00,2026-01-20 00:00:00,20377,Sun Chemical Corpration,Y,CIN2,ABRON55BAG,ABRON55BAG,ABRON55BAG,MNF,ADD,RCB,IN30,20377,2000,45
00010,CIN2,ABRON55BAG,174532,"",BG,0,2000,LB,2000,LB,400,999,2026-03-17 00:00:00,2026-03-17 00:00:00,20377,Sun Chemical Corpration,Y,CIN2,ABRON55BAG,ABRON55BAG,ABRON55BAG,MNF,ADD,RCB,IN30,20377,2000,45
00010,CIN2,ABRON55BAG,176753,"",BG,0,2000,LB,2000,LB,400,999,2026-06-01 00:00:00,2026-06-01 00:00:00,20377,Sun Chemical Corpration,Y,CIN2,ABRON55BAG,ABRON55BAG,ABRON55BAG,MNF,ADD,RCB,IN30,20377,2000,45
00010,CIN2,ABRON55BAG,177070,"",BG,0,2000,LB,2000,LB,400,999,2026-07-07 00:00:00,2026-07-07 00:00:00,20377,Sun Chemical Corpration,Y,CIN2,ABRON55BAG,ABRON55BAG,ABRON55BAG,MNF,ADD,RCB,IN30,20377,2000,45
00010,CIN2,ABRON55BAG,177951,"",BG,2000,2000,LB,2000,LB,280,400,2026-08-11 00:00:00,2026-08-11 00:00:00,20377,Sun Chemical Corpration,Y,CIN2,ABRON55BAG,ABRON55BAG,ABRON55BAG,MNF,ADD,RCB,IN30,20377,2000,45
00010,CIN2,AC1702,167791,2801921,DR,0,992,LB,450,KG,400,999,2025-08-11 00:00:00,2025-08-19 00:00:00,351400,Solstice - Orange,Y,CIN2,AC1702,AC1702,AC1702,POL,PPE,REC,IN30,351400,0,63
00010,CIN2,AC316,173261,2850747,SS,0,39683,LB,18000,KG,980,999,2026-03-03 00:00:00,2026-03-03 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC316,AC316,AC316,SYN,OXH,RRC,IN30,351149,20000,70
00010,CIN2,AC316,174118,2858045,SS,0,17637,LB,8000,KG,400,999,2026-04-09 00:00:00,2026-04-09 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC316,AC316,AC316,SYN,OXH,RRC,IN30,351149,20000,70
00010,CIN2,AC316,174923,"",SS,0,7716,LB,3500,KG,400,999,2026-04-13 00:00:00,2026-05-20 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC316,AC316,AC316,SYN,OXH,RRC,IN30,351149,20000,70
00010,CIN2,AC316,174923,2864627,SS,0,31967,LB,14500,KG,400,999,2026-04-13 00:00:00,2026-05-26 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC316,AC316,AC316,SYN,OXH,RRC,IN30,351149,20000,70
00010,CIN2,AC316,176839,2883801,SS,0,22046,LB,10000,KG,400,999,2026-06-23 00:00:00,2026-06-23 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC316,AC316,AC316,SYN,OXH,RRC,IN30,351149,20000,70
00010,CIN2,AC316,177394,2888117,SS,39683,39683,LB,18000,KG,280,400,2026-07-23 00:00:00,2026-07-29 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC316,AC316,AC316,SYN,OXH,RRC,IN30,351149,20000,70
00010,CIN2,AC316,178182,"",SS,39683,39683,LB,18000,KG,280,400,2026-08-14 00:00:00,2026-08-14 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC316,AC316,AC316,SYN,OXH,RRC,IN30,351149,20000,70
00010,CIN2,AC325,168520,2808998,SS,0,41888,LB,19000,KG,400,999,2025-07-16 00:00:00,2025-07-18 00:00:00,26157,Honeywell - Baton Rouge,Y,CIN2,AC325,AC325,AC325,SYN,OXH,RRC,IN30,351149,23812,70
00010,CIN2,AC325,170798,2828455,SS,0,41888,LB,19000,KG,400,999,2025-10-10 00:00:00,2025-10-07 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC325,AC325,AC325,SYN,OXH,RRC,IN30,351149,23812,70
00010,CIN2,AC325,170920,2829636,SS,0,41888,LB,19000,KG,400,999,2025-12-16 00:00:00,2025-12-31 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC325,AC325,AC325,SYN,OXH,RRC,IN30,351149,23812,70
00010,CIN2,AC325,172727,2846462,SS,0,41888,LB,19000,KG,400,999,2026-02-04 00:00:00,2026-02-04 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC325,AC325,AC325,SYN,OXH,RRC,IN30,351149,23812,70
00010,CIN2,AC325,173022,2848966,SS,0,38360,LB,17400,KG,400,999,2026-03-11 00:00:00,2026-02-13 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC325,AC325,AC325,SYN,OXH,RRC,IN30,351149,23812,70
00010,CIN2,AC325,174118,2858045,SS,0,22046,LB,10000,KG,400,999,2026-04-09 00:00:00,2026-04-09 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC325,AC325,AC325,SYN,OXH,RRC,IN30,351149,23812,70
00010,CIN2,AC325,174956,2864712,SS,0,41888,LB,19000,KG,400,999,2026-04-16 00:00:00,2026-04-01 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC325,AC325,AC325,SYN,OXH,RRC,IN30,351149,23812,70
00010,CIN2,AC325,176263,2878458,SS,0,5512,LB,2500,KG,400,999,2026-05-29 00:00:00,2026-05-22 00:00:00,351149,Solstice - Baton Rouge,N,CIN2,AC325,AC325,AC325,SYN,OXH,RRC,IN30,351149,23812,70
00010,CIN2,AC325,176263,2878458,SS,0,12125,LB,5500,KG,400,999,2026-05-29 00:00:00,2026-05-28 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC325,AC325,AC325,SYN,OXH,RRC,IN30,351149,23812,70
00010,CIN2,AC325,176263,2878458,SS,0,17637,LB,8000,KG,980,999,2026-05-29 00:00:00,2026-06-11 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC325,AC325,AC325,SYN,OXH,RRC,IN30,351149,23812,70
00010,CIN2,AC325,176404,2880201,SS,0,41888,LB,19000,KG,400,999,2026-06-08 00:00:00,2026-06-08 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC325,AC325,AC325,SYN,OXH,RRC,IN30,351149,23812,70
00010,CIN2,AC325,176839, 2883801,SS,0,17637,LB,8000,KG,400,999,2026-06-23 00:00:00,2026-06-23 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC325,AC325,AC325,SYN,OXH,RRC,IN30,351149,23812,70
00010,CIN2,AC325,177057,2885216,SS,41888,41888,LB,19000,KG,280,400,2026-07-20 00:00:00,2026-07-29 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC325,AC325,AC325,SYN,OXH,RRC,IN30,351149,23812,70
00010,CIN2,AC325,177505,2889122,SS,22046,22046,LB,10000,KG,280,400,2026-07-21 00:00:00,2026-07-21 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC325,AC325,AC325,SYN,OXH,RRC,IN30,351149,23812,70
00010,CIN2,AC325,178408,2896862,SS,41888,41888,LB,19000,KG,280,400,2026-09-10 00:00:00,2026-09-10 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC325,AC325,AC325,SYN,OXH,RRC,IN30,351149,23812,70
00010,CIN2,AC392,170458,2826433,SS,0,41888,LB,19000,KG,400,999,2025-10-01 00:00:00,2025-08-25 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC392,AC392,AC392,SYN,OXH,RRC,IN30,351149,33000,70
00010,CIN2,AC392,170921,2829633,SS,0,41888,LB,19000,KG,400,999,2025-11-20 00:00:00,2026-01-07 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC392,AC392,AC392,SYN,OXH,RRC,IN30,351149,33000,70
00010,CIN2,AC392,173641,2853933,SS,0,41888,LB,19000,KG,400,999,2026-03-13 00:00:00,2026-03-23 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC392,AC392,AC392,SYN,OXH,RRC,IN30,351149,33000,70
00010,CIN2,AC392,176263,2878458,SS,0,22046,LB,10000,KG,400,999,2026-05-29 00:00:00,2026-05-22 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC392,AC392,AC392,SYN,OXH,RRC,IN30,351149,33000,70
00010,CIN2,AC392,176551,2882021,SS,0,41888,LB,19000,KG,400,999,2026-06-18 00:00:00,2026-06-18 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC392,AC392,AC392,SYN,OXH,RRC,IN30,351149,33000,70
00010,CIN2,AC392,177505,2889122,SS,17637,17637,LB,8000,KG,280,400,2026-07-21 00:00:00,2026-07-21 00:00:00,351149,Solstice - Baton Rouge,Y,CIN2,AC392,AC392,AC392,SYN,OXH,RRC,IN30,351149,33000,70
00010,CIN2,AC5120M,167067,"",DR,0,17857,LB,17857,LB,980,999,2025-08-05 00:00:00,2025-08-05 00:00:00,20257,"Honeywell Spec Wax & Additives, Inc.",N,CIN2,AC5120M,AC5120M,AC5120M,EAA,EAA,RRC,IN30,351400,11200,105
00010,CIN2,AC5120M,167067,2795201,DR,0,17632,LB,17632,LB,400,999,2025-08-05 00:00:00,2025-08-19 00:00:00,351400,Solstice - Orange,Y,CIN2,AC5120M,AC5120M,AC5120M,EAA,EAA,RRC,IN30,351400,11200,105
00010,CIN2,AC5120M,170864,2829218,DR,0,17632,LB,17632,LB,400,999,2025-12-18 00:00:00,2026-01-19 00:00:00,351400,Solstice - Orange,Y,CIN2,AC5120M,AC5120M,AC5120M,EAA,EAA,RRC,IN30,351400,11200,105
00010,CIN2,AC5120M,173974,2857104,DR,0,17857,LB,17857,LB,400,999,2026-04-02 00:00:00,2026-04-02 00:00:00,351400,Solstice - Orange,Y,CIN2,AC5120M,AC5120M,AC5120M,EAA,EAA,RRC,IN30,351400,11200,105
00010,CIN2,AC5120M,174281,"",DR,0,9370,LB,9370,LB,400,999,2026-06-02 00:00:00,2026-06-04 00:00:00,351400,Solstice - Orange,N,CIN2,AC5120M,AC5120M,AC5120M,EAA,EAA,RRC,IN30,351400,11200,105
00010,CIN2,AC5120M,174281,2859027,DR,0,17857,LB,17857,LB,980,999,2026-06-02 00:00:00,2026-06-02 00:00:00,351400,Solstice - Orange,Y,CIN2,AC5120M,AC5120M,AC5120M,EAA,EAA,RRC,IN30,351400,11200,105
00010,CIN2,AC5120M,174281,2859027,DR,8267,8267,LB,8267,LB,280,400,2026-06-02 00:00:00,2026-08-07 00:00:00,351400,Solstice - Orange,Y,CIN2,AC5120M,AC5120M,AC5120M,EAA,EAA,RRC,IN30,351400,11200,105
00010,CIN2,AC540,165635,2780031,SS,0,17637,LB,8000,KG,400,999,2025-07-28 00:00:00,2025-07-28 00:00:00,20257,"Honeywell Spec Wax & Additives, Inc.",Y,CIN2,AC540,AC540,AC540,EAA,EAA,RRC,IN30,351400,36000,70
00010,CIN2,AC540,167064,2794740,SS,0,17637,LB,8000,KG,400,999,2025-09-23 00:00:00,2025-07-30 00:00:00,20257,"Honeywell Spec Wax & Additives, Inc.",Y,CIN2,AC540,AC540,AC540,EAA,EAA,RRC,IN30,351400,36000,70
00010,CIN2,AC540,168023,2804727,SS,0,19841,LB,9000,KG,400,999,2025-10-31 00:00:00,2025-09-02 00:00:00,702800,Solstice - Orange,Y,CIN2,AC540,AC540,AC540,EAA,EAA,RRC,IN30,351400,36000,70
00010,CIN2,AC540,169951,2821778,SS,0,17637,LB,8000,KG,400,999,2025-12-17 00:00:00,2025-12-17 00:00:00,351400,Solstice - Orange,Y,CIN2,AC540,AC540,AC540,EAA,EAA,RRC,IN30,351400,36000,70
00010,CIN2,AC540,169952,2821779,SS,0,17637,LB,8000,KG,400,999,2026-01-12 00:00:00,2026-01-16 00:00:00,351400,Solstice - Orange,Y,CIN2,AC540,AC540,AC540,EAA,EAA,RRC,IN30,351400,36000,70
